id	name	ping_1	ping_2	ping_3	ping_4	ping_5	ping_6	ping_7	ping_8	zhang_1	zhang_2	StructuredFund
150067	国泰互利分级债券B行情吧档案			1.3380	1.9590	1.3340	1.9550	1.6850	-25.93%	0.0040	0.30%	True
150190	新华中证环保产业指数分级A行情吧档案			1.0030	1.2820	1.0020	1.2810	0.9880	1.50%	0.0010	0.10%	True
150148	信诚中证800医药指数分级A行情吧档案			1.0050	1.2880	1.0040	1.2870	0.9590	4.58%	0.0010	0.10%	True
150157	信诚中证800金融指数分级A行情吧档案			1.0050	1.2680	1.0040	1.2670	0.9710	3.38%	0.0010	0.10%	True
150150	信诚中证800有色指数分级A行情吧档案			1.0050	1.2850	1.0040	1.2840	0.9730	3.18%	0.0010	0.10%	True
150307	富国中证体育产业指数分级A行情吧档案			1.0060	1.1630	1.0050	1.1620	0.9680	3.78%	0.0010	0.10%	True
150315	富国中证工业4.0指数分级A行情吧档案			1.0060	1.1650	1.0050	1.1640	0.9670	3.88%	0.0010	0.10%	True
150223	富国中证全指证券公司分级A行情吧档案			1.0060	1.2270	1.0050	1.2260	1.0480	-4.17%	0.0010	0.10%	True
150167	银华沪深300指数分级A行情吧档案			1.0070	---	1.0060	---	---	---	0.0010	0.10%	True
150138	银华800A行情吧档案			1.0070	---	1.0060	---	---	---	0.0010	0.10%	True
518800	国泰黄金ETF行情吧档案			2.7904	1.0555	2.7887	1.0549	2.7900	0.01%	0.0017	0.06%	True
159934	易方达黄金ETF行情吧档案			2.7929	1.1378	2.7912	1.1371	2.7930	0.00%	0.0017	0.06%	True
518880	华安黄金易ETF行情吧档案			2.8111	1.0615	2.8094	1.0609	2.8110	0.00%	0.0017	0.06%	True
159937	博时黄金ETF行情吧档案			2.8121	1.1042	2.8104	1.1035	2.8120	0.00%	0.0017	0.06%	True
511230	海富通上证周期产业债ETF行情吧档案			102.7951	1.0680	102.7575	1.0676	98.0000	4.66%	0.0376	0.04%	True
511220	海富通上证可质押城投债ETF行情吧档案			97.0570	1.1960	97.0300	1.1950	95.5020	1.60%	0.0270	0.03%	True
511880	银华日利A行情吧档案			100.2760	120.6600	100.2530	120.6370	100.2550	0.02%	0.0230	0.02%	True
150083	广发深证100指数分级A行情吧档案			1.0025	1.3907	1.0023	1.3905	0.9790	2.34%	0.0002	0.02%	True
150215	国泰深证TMT50指数分级A行情吧档案			1.0020	1.1776	1.0018	1.1774	1.1150	-11.28%	0.0002	0.02%	True
150104	华安沪深300指数分级A行情吧档案			1.0025	1.3815	1.0023	1.3813	0.9680	3.44%	0.0002	0.02%	True
150175	银华恒生国企指数分级A行情吧档案			1.0066	---	1.0064	---	---	---	0.0002	0.02%	True
